metric,test_type,n_current,n_baseline,n_paired,mean_current,mean_baseline,delta_mean,ci_low,ci_high,p_value,cohens_d,cohens_d_label,condition,difficulty,p_value_adj_bonferroni,p_value_adj_bh,sig_raw_0_05,sig_bh_0_05,sig_bonf_0_05
critical_miss_rate,wilcoxon,57,57,57,0.017543859649122806,0.017543859649122806,0.0,-0.05263157894736842,0.05263157894736842,1.0,0.0,negligible,anomaly_direction,anomaly,1.0,1.0,False,False,False
hit_at_2,wilcoxon,57,57,57,0.9824561403508771,0.9824561403508771,0.0,-0.05263157894736842,0.05263157894736842,1.0,0.0,negligible,anomaly_direction,anomaly,1.0,1.0,False,False,False
loss_value,wilcoxon,57,57,57,1114.0350877192982,1215.7894736842106,-101.75438596491244,-722.8070175438596,450.87719298245617,0.6001794871405538,-0.02023491450085175,negligible,anomaly_direction,anomaly,1.0,1.0,False,False,False
critical_miss_rate,wilcoxon,375,375,375,0.016,0.010666666666666666,0.005333333333333334,0.0,0.013333333333333334,0.15729920705028502,0.046449571004214596,negligible,anomaly_direction,normal,1.0,0.9654365759953184,False,False,False
hit_at_2,wilcoxon,375,375,375,0.992,0.9946666666666667,-0.002666666666666706,-0.008,0.0,0.31731050786291415,-0.032729948861136206,negligible,anomaly_direction,normal,1.0,0.9654365759953184,False,False,False
loss_value,wilcoxon,375,375,375,885.3333333333334,861.3333333333334,24.0,-219.20666666666665,296.01333333333315,0.2313078724751485,0.007097682180950973,negligible,anomaly_direction,normal,1.0,0.9654365759953184,False,False,False
critical_miss_rate,wilcoxon,420,423,417,0.007142857142857143,0.004728132387706856,0.002414724755150287,0.0,0.007194244604316547,0.31731050786291415,0.03141420701107859,negligible,difficulty_failure,hit_day,1.0,0.9654365759953184,False,False,False
hit_at_2,mannwhitneyu,420,423,417,1.0,1.0,0.0,0.0,0.0,1.0,,na,difficulty_failure,hit_day,1.0,1.0,False,False,False
loss_value,wilcoxon,420,423,417,793.0952380952381,813.4751773049645,-20.379939209726444,-186.57074340527578,201.91846522781773,0.12550063763771707,-0.005988299296027008,negligible,difficulty_failure,hit_day,1.0,0.9654365759953184,False,False,False
critical_miss_rate,mannwhitneyu,12,9,6,0.3333333333333333,0.3333333333333333,0.0,-0.41666666666666663,0.3888888888888889,1.0,0.0,negligible,difficulty_failure,miss_day,1.0,1.0,False,False,False
hit_at_2,mannwhitneyu,12,9,6,0.6666666666666666,0.6666666666666666,0.0,-0.38888888888888884,0.4166666666666667,1.0,0.0,negligible,difficulty_failure,miss_day,1.0,1.0,False,False,False
loss_value,mannwhitneyu,12,9,6,5200.0,5355.555555555556,-155.55555555555566,-6872.430555555556,6400.069444444443,0.9399821277206878,-0.019222345059570805,negligible,difficulty_failure,miss_day,1.0,1.0,False,False,False
critical_miss_rate,wilcoxon,108,108,83,0.046296296296296294,0.037037037037037035,0.009259259259259259,-0.024096385542168676,0.060240963855421686,0.5637028616507731,0.04613389984385539,negligible,pred_span_quartile,Q1,1.0,1.0,False,False,False
hit_at_2,wilcoxon,108,108,83,0.9722222222222222,0.9722222222222222,0.0,-0.03614457831325301,0.03614457831325301,1.0,0.0,negligible,pred_span_quartile,Q1,1.0,1.0,False,False,False
loss_value,wilcoxon,108,108,83,2892.5925925925926,2699.074074074074,193.5185185185187,-785.5722891566265,1478.3433734939754,0.7332713908212207,0.03084883117309236,negligible,pred_span_quartile,Q1,1.0,1.0,False,False,False
critical_miss_rate,mannwhitneyu,108,108,68,0.009259259259259259,0.009259259259259259,0.0,-0.027777777777777776,0.027777777777777776,1.0,0.0,negligible,pred_span_quartile,Q2,1.0,1.0,False,False,False
hit_at_2,mannwhitneyu,108,108,68,1.0,1.0,0.0,0.0,0.0,1.0,,na,pred_span_quartile,Q2,1.0,1.0,False,False,False
loss_value,wilcoxon,108,108,68,612.9629629629629,850.0,-237.03703703703707,-202.94117647058823,0.0,0.17971249487899976,-0.0823451235442844,negligible,pred_span_quartile,Q2,1.0,0.9654365759953184,False,False,False
critical_miss_rate,mannwhitneyu,108,108,68,0.009259259259259259,0.0,0.009259259259259259,0.0,0.027777777777777776,0.32181219199843947,0.13608276348795437,negligible,pred_span_quartile,Q3,1.0,0.9654365759953184,False,False,False
hit_at_2,mannwhitneyu,108,108,68,0.9907407407407407,1.0,-0.0092592592592593,-0.02777777777777779,0.0,0.32181219199843947,-0.13608276348795498,negligible,pred_span_quartile,Q3,1.0,0.9654365759953184,False,False,False
loss_value,wilcoxon,108,108,68,154.62962962962962,71.29629629629629,83.33333333333333,0.0,26.470588235294116,0.31731050786291415,0.11994971685624366,negligible,pred_span_quartile,Q3,1.0,0.9654365759953184,False,False,False
critical_miss_rate,mannwhitneyu,108,108,88,0.0,0.0,0.0,0.0,0.0,1.0,,na,pred_span_quartile,Q4,1.0,1.0,False,False,False
hit_at_2,mannwhitneyu,108,108,88,1.0,1.0,0.0,0.0,0.0,1.0,,na,pred_span_quartile,Q4,1.0,1.0,False,False,False
loss_value,mannwhitneyu,108,108,88,1.8518518518518519,12.037037037037036,-10.185185185185185,-36.111111111111114,5.555555555555555,1.0,-0.11380799012810348,negligible,pred_span_quartile,Q4,1.0,1.0,False,False,False
critical_miss_rate,mannwhitneyu,126,126,126,0.0,0.0,0.0,0.0,0.0,1.0,,na,weekday,fri_sat,1.0,1.0,False,False,False
hit_at_2,mannwhitneyu,126,126,126,1.0,1.0,0.0,0.0,0.0,1.0,,na,weekday,fri_sat,1.0,1.0,False,False,False
