condition,difficulty,n_pairs,n_miss1,rank2_rescue_rate,rank3_rescue_rate,critical_miss_rate,loss_when_miss1_p50,loss_when_miss1_p75
anomaly_direction,high_anomaly,33,7,0.8571428571428571,0.0,0.030303030303030304,0.0,2800.0
anomaly_direction,low_anomaly,24,3,1.0,,0.0,1000.0,1650.0
anomaly_direction,normal,375,20,0.7,0.0,0.016,300.0,6425.0
difficulty_failure,hit_day,420,25,0.88,0.0,0.007142857142857143,0.0,1400.0
difficulty_failure,miss_day,12,5,0.2,0.0,0.3333333333333333,9600.0,17100.0
pred_span_quartile,Q1,108,17,0.7058823529411765,0.0,0.046296296296296294,1400.0,4200.0
pred_span_quartile,Q2,108,11,0.9090909090909091,0.0,0.009259259259259259,0.0,1100.0
pred_span_quartile,Q3,108,2,0.5,0.0,0.009259259259259259,4900.0,7250.0
pred_span_quartile,Q4,108,0,,,0.0,,
weekday,Friday,63,2,1.0,,0.0,2100.0,3150.0
weekday,Monday,60,2,1.0,,0.0,700.0,1050.0
weekday,Saturday,63,6,1.0,,0.0,0.0,0.0
weekday,Sunday,63,6,0.16666666666666666,0.0,0.07936507936507936,13050.0,16950.0
weekday,Thursday,63,5,0.8,0.0,0.015873015873015872,1200.0,3600.0
weekday,Tuesday,60,3,1.0,,0.0,0.0,100.0
weekday,Wednesday,60,6,0.8333333333333334,0.0,0.016666666666666666,0.0,4050.0
