hall,axis,axis_level,n_days,budget_index_sum,budget_index_mean,budget_abs_sum,budget_abs_share,under_budget_days,balanced_days,over_budget_days,dominant_regime
蒲田7,day_of_week,月,52,225.87052632287327,4.343663967747563,286.4883951817764,0.17011721679994513,13,30,9,balanced
蒲田7,day_of_week,火,52,257.3942376665186,4.949889185894589,270.8979778260325,0.16085960478523892,4,38,10,balanced
蒲田7,day_of_week,木,52,229.77110200437673,4.4186750385457065,246.5985147133574,0.1464305490050271,7,35,10,balanced
蒲田7,day_of_week,土,52,194.14791783517154,3.7336138045225296,245.953665652811,0.14604763671510132,10,31,11,balanced
蒲田7,day_of_week,水,52,229.59733516343096,4.415333368527518,242.63832167710842,0.1440789807438075,6,38,8,balanced
蒲田7,day_of_week,日,49,162.72734620035874,3.320966248986913,214.45541214793212,0.127343928954411,11,32,6,balanced
蒲田7,day_of_week,金,51,162.01922472316323,3.176847543591436,177.03238638826366,0.10512208299646898,14,30,7,balanced
蒲田7,dd,7,12,91.67164295468022,7.639303579556685,95.45321781051076,0.056680256588473366,1,9,2,balanced
蒲田7,dd,30,11,79.46082723887096,7.2237115671700876,79.46082723887096,0.04718395230606485,0,6,5,balanced
蒲田7,dd,8,12,74.4986099996219,6.208217499968492,74.4986099996219,0.044237380646985465,0,8,4,balanced
蒲田7,dd,21,12,50.95090909225978,4.245909091021648,72.19769103050378,0.04287109168836913,3,5,4,balanced
蒲田7,dd,1,12,54.7620581124839,4.563504842706991,68.49906462486277,0.040674842064675976,1,9,2,balanced
蒲田7,dd,16,12,63.27654275602388,5.273045229668656,64.36707971889791,0.038221263546718474,1,8,3,balanced
蒲田7,dd,5,11,60.00522793218868,5.455020721108062,60.00522793218868,0.03563118974781982,2,7,2,balanced
蒲田7,dd,22,12,42.41094616453057,3.534245513710881,59.39677010619178,0.035269886624762915,2,7,3,balanced
蒲田7,dd,4,12,35.72473661698627,2.977061384748856,59.14100660027934,0.03511801389093991,2,8,2,balanced
蒲田7,dd,10,12,55.009679912110435,4.58413999267587,58.169478464363586,0.034541119101117936,1,9,2,balanced
蒲田7,dd,3,12,40.312154168712816,3.359346180726068,56.57860560567805,0.03359645653344067,3,8,1,balanced
蒲田7,dd,12,10,53.97443332289621,5.397443332289621,55.49185629793933,0.03295114324780313,1,6,3,balanced
蒲田7,dd,17,12,52.63995441457006,4.386662867880839,55.14552376174637,0.03274549049489832,1,9,2,balanced
蒲田7,dd,14,12,53.666332231902544,4.472194352658545,54.53226137801285,0.03238133441861938,2,9,1,balanced
蒲田7,dd,11,12,44.043364730035634,3.670280394169636,54.29549060097083,0.032240739594230794,2,9,1,balanced
蒲田7,dd,9,12,51.58597589932598,4.298831324943832,53.97854588199797,0.03205253736901712,2,9,1,balanced
蒲田7,dd,24,12,51.28856442875323,4.274047035729436,52.416649496176746,0.03112508107216709,1,9,2,balanced
蒲田7,dd,27,12,51.80752723180628,4.317293935983857,52.06159023777483,0.030914246379194408,1,9,2,balanced
蒲田7,dd,2,12,49.721393559627025,4.143449463302252,51.094418679657174,0.030339938531469386,2,7,3,balanced
蒲田7,dd,28,12,41.33098903284676,3.4442490860705632,50.46625718905883,0.029966935344329145,2,9,1,balanced
蒲田7,dd,6,11,44.4159248426097,4.037811349328154,50.082877641133464,0.029739284023130943,2,6,3,balanced
蒲田7,dd,23,12,27.149997462529345,2.2624997885441123,49.373820075641284,0.02931824463158442,4,7,1,balanced
蒲田7,dd,26,12,45.66466907401997,3.805389089501664,45.66466907401997,0.027115745487819157,1,10,1,balanced
蒲田7,dd,15,12,36.06500391827936,3.0054169931899466,42.44583869015245,0.025204399424718752,3,8,1,balanced
蒲田7,dd,25,12,40.6229261488673,3.3852438457389415,41.845531808574684,0.024847936344058654,3,7,2,balanced
蒲田7,dd,13,12,31.5098195594233,2.625818296618608,41.82091535667677,0.024833319059886616,4,6,2,balanced
蒲田7,dd,18,12,34.17149911637108,2.8476249263642566,40.30873408493048,0.023935383668530687,4,7,1,balanced
蒲田7,dd,20,12,32.76756222102962,2.730630185085802,38.90834416647458,0.023103830141864228,5,6,1,balanced
蒲田7,dd,29,11,15.711406833323423,1.4283097121203112,36.361931464223915,0.021591766655117924,5,5,1,balanced
蒲田7,dd,19,12,33.389484110379854,2.782457009198321,35.30555488790541,0.020964488740625314,3,8,1,balanced
蒲田7,dd,31,6,21.91752682882689,3.652921138137815,34.69628368224404,0.02060270263156601,1,4,1,balanced
蒲田7,dd_bucket,1-7,82,376.6131381872886,4.59284314862547,440.8544188943103,0.2617799813799501,13,54,15,balanced
蒲田7,dd_bucket,8-14,82,364.28821565531604,4.442539215308732,392.78715797958324,0.23323757343766044,12,56,14,balanced
蒲田7,dd_bucket,22-28,84,300.2756195433535,3.5747097564684944,351.2252879874382,0.20855807588391584,14,58,12,balanced
蒲田7,dd_bucket,15-21,84,303.2609556289136,3.6102494717727813,348.67876634061093,0.20704594770572488,20,51,13,balanced
蒲田7,dd_bucket,29-31,28,117.08976090102128,4.1817771750364745,150.51904238533888,0.08937842159274877,6,15,7,balanced
蒲田7,is_x_day,0,259,971.8629331478287,3.7523665372503037,1112.8582144936054,0.6608167916277642,53,167,39,balanced
蒲田7,is_x_day,1,101,489.6647567680643,4.848165908594696,571.2064590936762,0.33918320837223587,12,67,22,balanced
