hall,axis,axis_level,n_days,budget_index_sum,budget_index_mean,budget_abs_sum,budget_abs_share,under_budget_days,balanced_days,over_budget_days,dominant_regime
みとや,day_of_week,水,79,-106.87348256426866,-1.3528288932185906,371.8332453917563,0.16498537335562496,25,35,19,balanced
みとや,day_of_week,金,78,-22.457303452398808,-0.2879141468256257,367.1648240796022,0.16291395762636277,23,38,17,balanced
みとや,day_of_week,火,78,9.009217103374736,0.11550278337659918,363.81515611674445,0.16142768326461973,18,35,25,balanced
みとや,day_of_week,木,79,-65.49530109730483,-0.8290544442696814,342.0559936060562,0.15177296950455957,19,44,16,balanced
みとや,day_of_week,月,78,-6.1502415144052645,-0.07884925018468288,328.0845140218472,0.14557371270302583,18,39,21,balanced
みとや,day_of_week,日,77,-44.85837823879968,-0.5825763407636322,241.4476108055768,0.10713222851445676,13,52,12,balanced
みとや,day_of_week,土,78,29.422538863717286,0.3772120367143242,239.33326183509516,0.10619407503135046,10,53,15,balanced
みとや,dd,4,19,94.10082524424689,4.952675012855099,100.37086658901191,0.044535353154795905,0,7,12,over_budget
みとや,dd,3,19,-15.807119387009816,-0.8319536519478851,92.65542354859988,0.041111949609248764,5,9,5,balanced
みとや,dd,19,18,-27.42370705527202,-1.5235392808484454,90.9367373736143,0.04034935486072811,6,9,3,balanced
みとや,dd,18,18,-43.6173509021594,-2.4231861612310777,90.330918158369,0.040080548048394934,6,11,1,balanced
みとや,dd,10,18,-43.797780734222954,-2.433210040790164,89.58732352431161,0.03975060918508554,9,7,2,under_budget
みとや,dd,30,15,46.83949451999538,3.122632967999692,87.65699447065938,0.03889410680515315,2,5,8,over_budget
みとや,dd,6,18,-40.95354630214809,-2.275197016786005,87.0129717404867,0.038608348788881364,7,7,4,balanced
みとや,dd,24,18,80.81104862677685,4.489502701487603,85.47126605953386,0.03792428169555703,0,6,12,over_budget
みとや,dd,7,18,80.27035930018471,4.459464405565817,81.0090040813914,0.035944340505256016,0,10,8,balanced
みとや,dd,14,18,80.84446971033766,4.491359428352093,80.84446971033766,0.035871335293983064,0,7,11,over_budget
みとや,dd,2,19,-29.65675273290135,-1.5608817227842815,79.7234127114074,0.03537391337215739,7,8,4,balanced
みとや,dd,17,18,74.09110522789915,4.1161725126610635,78.27404940870498,0.03473081932774948,0,7,11,over_budget
みとや,dd,27,18,76.61013919862924,4.256118844368292,76.61013919862924,0.03399252911125646,0,7,11,over_budget
みとや,dd,25,18,-62.20160179070525,-3.455644543928069,74.11447248292764,0.03288518190665827,8,10,0,balanced
みとや,dd,28,18,-33.953681915051575,-1.8863156619473098,73.6935331194823,0.03269840775749649,6,9,3,balanced
みとや,dd,1,19,-49.18483658012803,-2.5886756094804224,73.05928590325792,0.03241698721464455,5,12,2,balanced
みとや,dd,26,18,-21.33669395443807,-1.1853718863576705,71.22913567986829,0.03160493497981899,3,13,2,balanced
みとや,dd,11,18,32.44211302304794,1.802339612391552,71.18156729691712,0.03158382850932883,2,12,4,balanced
みとや,dd,23,18,-54.51266542186877,-3.028481412326043,70.5756296981363,0.031314969169277784,6,11,1,balanced
みとや,dd,13,18,-51.56275113768151,-2.8645972854267505,69.15627208728813,0.030685188889399334,8,9,1,balanced
みとや,dd,12,17,-21.074073752901892,-1.239651397229523,66.58113712974867,0.02954258099277851,7,6,4,under_budget
みとや,dd,29,16,-60.954590000924775,-3.8096618750577984,64.4170204840483,0.028582345195681293,5,11,0,balanced
みとや,dd,9,18,-0.1562787117211295,-0.008682150651173861,64.35568603624718,0.028555130612543715,4,9,5,balanced
みとや,dd,20,18,-44.406096180473085,-2.4670053433596157,63.40555938773191,0.028133551848990006,7,10,1,balanced
みとや,dd,21,18,-43.661492363380916,-2.4256384646322733,63.3085113831947,0.028090490876200656,4,13,1,balanced
みとや,dd,5,18,-3.0541273159409448,-0.16967373977449693,63.11428276510071,0.028004310090943486,4,11,3,balanced
みとや,dd,22,18,-50.112291473140374,-2.784016192952243,56.86430968735811,0.025231147243152497,5,13,0,balanced
みとや,dd,16,18,-23.07221704699942,-1.2817898359444122,56.438578231739555,0.025042246804515125,3,14,1,balanced
みとや,dd,8,18,-7.807310592592659,-0.43373947736625884,52.91735801362749,0.02347985334036827,1,14,3,balanced
みとや,dd,15,18,-31.68221893558767,-1.760123274199315,40.821390042372464,0.018112775983601514,3,15,0,balanced
みとや,dd,31,9,-13.423321463953382,-1.4914801626614869,38.017299852574325,0.016868578826353595,3,4,2,balanced
みとや,dd_bucket,1-7,130,35.71480222630339,0.2747292478946415,576.945247339256,0.25599520273592746,28,64,38,balanced
みとや,dd_bucket,22-28,126,-64.69574672979789,-0.5134583073793483,508.5584859259357,0.22565145186321753,28,69,29,balanced
みとや,dd_bucket,8-14,125,-11.111612195734548,-0.08889289756587639,494.6238137984778,0.21946852682348722,31,64,30,balanced
みとや,dd_bucket,15-21,126,-139.77197725597335,-1.1093014067934392,483.51574398572694,0.21453978775017984,29,79,18,balanced
みとや,dd_bucket,29-31,40,-27.538416944882787,-0.6884604236220697,190.091314807282,0.08434503082718804,10,20,10,balanced
みとや,is_x_day,0,438,-694.1308982081596,-1.5847737402012776,1751.1548108090692,0.777001340911402,126,252,60,balanced
みとや,is_x_day,1,109,486.7279473080745,4.465394012000683,502.579795047609,0.22299865908859795,0,44,65,over_budget
