date,month,weekday,expert,model,target_label,window,lambda,top1_tail,top1_pred,top1_actual_raw_diff,top1_machine_count,top1_avg_diff_per_machine,top1_prob_positive,top1_final_score,top2_tail,top2_pred,top2_actual_raw_diff,top2_prob_positive,top2_final_score,pred_span_top12,confidence_band,operational_pick_tail,operational_pick_source,operational_pick_pred,operational_pick_actual_raw_diff,operational_pick_in_actual_top2,top1_is_avoid,top2_is_avoid,hit_at_2,hit_at_3,pred_span_quartile,rolling_median,zscore,is_anomaly,anomaly_direction,is_hit_rate_miss_day,difficulty_failure,actual_top1_tail,actual_top2_tail,actual_top3_tail,actual_top1_diff,actual_top2_diff,actual_top3_diff,actual_top1_machine_count,actual_top2_machine_count,actual_top3_machine_count,loss_scenario,loss_value,chosen_tail,top1_match,top2_match,top3_match,rescue_source
2026-01-01,2026-01,Thursday,2F_A,xgb_ranker_ndcg,is_rank_1,recent_60d,0.75,3,0.3435465860120489,3200.0,3.0,1066.6666666666667,0.5,0.3435465860120489,8,0.1375128971211936,2800.0,0.5,0.1375128971211936,0.2060336888908553,medium,3,top1_default,0.3435465860120489,3200.0,1,0,0,1.0,1.0,Q3,144.0,1.4631213452771414,0,normal,1,miss_day,3,8,1,3200.0,2800.0,1600.0,3.0,3.0,4.0,hit1,0.0,3,1,1,0,rank1
2026-01-01,2026-01,Thursday,2F_N,xgb_ranker_ndcg,is_rank_1,full_2025,1.25,8,0.0056882420056205,12600.0,32.0,393.75,0.5,0.0056882420056205,0,0.0021312179446961,8400.0,0.5,0.0021312179446961,0.0035570240609244,low,8,top1_default,0.0056882420056205,12600.0,1,0,0,1.0,1.0,Q1,144.0,1.4631213452771414,0,normal,1,miss_day,8,0,7,12600.0,8400.0,4700.0,32.0,32.0,32.0,hit1,0.0,8,1,1,0,rank1
2026-01-01,2026-01,Thursday,3F_A,xgb_ranker_ndcg,is_rank_1,full_2025,0.75,1,0.9915097084938252,39400.0,22.0,1790.909090909091,0.5,0.9915097084938252,5,0.9896259509267512,42900.0,0.5,0.9896259509267512,0.001883757567074,low,1,top1_default,0.9915097084938252,39400.0,0,0,0,0.0,0.0,Q1,144.0,1.4631213452771414,0,normal,1,miss_day,8,7,3,52000.0,48200.0,47500.0,20.0,20.0,20.0,critical_miss,9100.0,1,0,0,0,none
2026-01-01,2026-01,Thursday,3F_N,xgb_ranker_ndcg,is_rank_1,recent_60d,1.0,6,0.1602256554949221,10200.0,16.0,637.5,0.5,0.1602256554949221,9,0.0023514055252452,-3500.0,0.5,0.0023514055252452,0.1578742499696769,medium,6,top1_default,0.1602256554949221,10200.0,1,0,0,1.0,1.0,Q2,144.0,1.4631213452771414,0,normal,1,miss_day,6,7,2,10200.0,5700.0,2100.0,16.0,16.0,16.0,hit1,0.0,6,1,0,0,rank1
2026-01-02,2026-01,Friday,2F_A,xgb_ranker_ndcg,is_rank_1,recent_60d,1.0,1,0.9794040060086702,7900.0,4.0,1975.0,0.5,0.9794040060086702,0,0.2050079266883678,2100.0,0.5,0.2050079266883678,0.7743960793203023,high,1,top1_default,0.9794040060086702,7900.0,1,0,0,1.0,1.0,Q4,160.5,0.12866665735372773,0,normal,0,hit_day,1,0,8,7900.0,2100.0,1900.0,4.0,3.0,3.0,hit1,0.0,1,1,1,0,rank1
2026-01-02,2026-01,Friday,2F_N,xgb_ranker_ndcg,is_rank_1,full_2025,1.25,9,0.9284571179523496,35300.0,32.0,1103.125,0.5,0.9284571179523496,6,0.8431597452683399,33900.0,0.5,0.8431597452683399,0.0852973726840097,low,9,top1_default,0.9284571179523496,35300.0,1,0,0,1.0,1.0,Q2,160.5,0.12866665735372773,0,normal,0,hit_day,9,3,6,35300.0,33900.0,33900.0,32.0,32.0,31.0,hit1,0.0,9,1,0,0,rank1
2026-01-02,2026-01,Friday,3F_A,xgb_ranker_ndcg,is_rank_1,full_2025,0.75,4,0.6917200833949266,16400.0,20.0,820.0,0.5,0.6917200833949266,3,0.0010094758357428,3900.0,0.5,0.0010094758357428,0.6907106075591838,high,4,top1_default,0.6917200833949266,16400.0,1,0,0,1.0,1.0,Q4,160.5,0.12866665735372773,0,normal,0,hit_day,4,0,7,16400.0,4900.0,4700.0,20.0,20.0,20.0,hit1,0.0,4,1,0,0,rank1
2026-01-02,2026-01,Friday,3F_N,xgb_ranker_ndcg,is_rank_1,recent_60d,0.75,5,0.0393376556586938,15200.0,16.0,950.0,0.5,0.0393376556586938,9,0.0022659946405435,-12300.0,0.5,0.0022659946405435,0.0370716610181502,low,5,top1_default,0.0393376556586938,15200.0,1,0,0,1.0,1.0,Q1,160.5,0.12866665735372773,0,normal,0,hit_day,5,6,3,15200.0,2000.0,300.0,16.0,16.0,16.0,hit1,0.0,5,1,0,0,rank1
2026-01-03,2026-01,Saturday,2F_A,xgb_ranker_ndcg,is_rank_1,full_2025,0.75,9,0.6852597576506687,3300.0,3.0,1100.0,0.5,0.6852597576506687,5,0.3639705043458545,2300.0,0.5,0.3639705043458545,0.3212892533048141,high,9,top1_default,0.6852597576506687,3300.0,1,0,0,1.0,1.0,Q3,144.0,-0.6196853987633989,0,normal,1,miss_day,9,5,7,3300.0,2300.0,1400.0,3.0,4.0,3.0,hit1,0.0,9,1,1,0,rank1
2026-01-03,2026-01,Saturday,2F_N,xgb_ranker_ndcg,is_rank_1,full_2025,1.25,7,0.5963065430068702,28200.0,32.0,881.25,0.5,0.5963065430068702,0,0.5260014999175805,38800.0,0.5,0.5260014999175805,0.0703050430892897,low,7,top1_default,0.5963065430068702,28200.0,1,0,0,1.0,1.0,Q2,144.0,-0.6196853987633989,0,normal,1,miss_day,0,7,4,38800.0,28200.0,27200.0,32.0,32.0,32.0,hit1,10600.0,7,1,1,0,rank1
