condition,difficulty,n_pairs,n_miss1,rank2_rescue_rate,rank3_rescue_rate,critical_miss_rate,loss_when_miss1_p50,loss_when_miss1_p75
anomaly_direction,high_anomaly,33,3,1.0,,0.0,0.0,4250.0
anomaly_direction,low_anomaly,24,2,0.5,0.0,0.041666666666666664,2900.0,3850.0
anomaly_direction,normal,375,15,0.8,0.0,0.008,0.0,3650.0
difficulty_failure,hit_day,423,17,0.9411764705882353,0.0,0.002364066193853428,0.0,1200.0
difficulty_failure,miss_day,9,3,0.0,0.0,0.3333333333333333,4800.0,7250.0
pred_span_quartile,Q1,108,12,0.6666666666666666,0.0,0.037037037037037035,1800.0,6025.0
pred_span_quartile,Q2,108,5,1.0,,0.0,1000.0,1200.0
pred_span_quartile,Q3,108,3,1.0,,0.0,0.0,100.0
pred_span_quartile,Q4,108,0,,,0.0,,
weekday,Friday,63,1,1.0,,0.0,0.0,0.0
weekday,Monday,60,1,1.0,,0.0,0.0,0.0
weekday,Saturday,63,4,1.0,,0.0,0.0,250.0
weekday,Sunday,63,6,0.6666666666666666,0.0,0.031746031746031744,6650.0,13000.0
weekday,Thursday,63,4,0.5,0.0,0.031746031746031744,2400.0,5125.0
weekday,Tuesday,60,1,1.0,,0.0,200.0,200.0
weekday,Wednesday,60,3,1.0,,0.0,0.0,1850.0
