suspect_tweet_id,suspect_handle,image_index,image_path,matched_tweet_id,matched_handle,matched_image_path
2094382077475266855,999999Q9Q,4,C:\Users\apto117\Documents\pachinko-analyzer\src\2026project\scraper\twitter_monitor\images\999999Q9Q\2094382077475266855_4.jpg,2094393222944706859,999999Q9Q,C:\Users\apto117\Documents\pachinko-analyzer\src\2026project\scraper\twitter_monitor\images\999999Q9Q\2094393222944706859_2.jpg
2094382077475266855,999999Q9Q,4,C:\Users\apto117\Documents\pachinko-analyzer\src\2026project\scraper\twitter_monitor\images\999999Q9Q\2094382077475266855_4.jpg,2094395900340879493,999999Q9Q,C:\Users\apto117\Documents\pachinko-analyzer\src\2026project\scraper\twitter_monitor\images\999999Q9Q\2094395900340879493_2.jpg
2094382077475266855,999999Q9Q,5,C:\Users\apto117\Documents\pachinko-analyzer\src\2026project\scraper\twitter_monitor\images\999999Q9Q\2094382077475266855_5.jpg,2094616585050919033,999999Q9Q,C:\Users\apto117\Documents\pachinko-analyzer\src\2026project\scraper\twitter_monitor\images\999999Q9Q\2094616585050919033_2.jpg
2094382077475266855,999999Q9Q,5,C:\Users\apto117\Documents\pachinko-analyzer\src\2026project\scraper\twitter_monitor\images\999999Q9Q\2094382077475266855_5.jpg,2094361378744361211,999999Q9Q,C:\Users\apto117\Documents\pachinko-analyzer\src\2026project\scraper\twitter_monitor\images\999999Q9Q\2094361378744361211_2.jpg
2094382077475266855,999999Q9Q,5,C:\Users\apto117\Documents\pachinko-analyzer\src\2026project\scraper\twitter_monitor\images\999999Q9Q\2094382077475266855_5.jpg,2094365189231755645,999999Q9Q,C:\Users\apto117\Documents\pachinko-analyzer\src\2026project\scraper\twitter_monitor\images\999999Q9Q\2094365189231755645_3.jpg
2094382077475266855,999999Q9Q,5,C:\Users\apto117\Documents\pachinko-analyzer\src\2026project\scraper\twitter_monitor\images\999999Q9Q\2094382077475266855_5.jpg,2094368360012382392,999999Q9Q,C:\Users\apto117\Documents\pachinko-analyzer\src\2026project\scraper\twitter_monitor\images\999999Q9Q\2094368360012382392_3.jpg
2094382077475266855,999999Q9Q,5,C:\Users\apto117\Documents\pachinko-analyzer\src\2026project\scraper\twitter_monitor\images\999999Q9Q\2094382077475266855_5.jpg,2094371487239336006,999999Q9Q,C:\Users\apto117\Documents\pachinko-analyzer\src\2026project\scraper\twitter_monitor\images\999999Q9Q\2094371487239336006_3.jpg
2094382077475266855,999999Q9Q,5,C:\Users\apto117\Documents\pachinko-analyzer\src\2026project\scraper\twitter_monitor\images\999999Q9Q\2094382077475266855_5.jpg,2094375307520397692,999999Q9Q,C:\Users\apto117\Documents\pachinko-analyzer\src\2026project\scraper\twitter_monitor\images\999999Q9Q\2094375307520397692_3.jpg
2094382077475266855,999999Q9Q,5,C:\Users\apto117\Documents\pachinko-analyzer\src\2026project\scraper\twitter_monitor\images\999999Q9Q\2094382077475266855_5.jpg,2094379814396559391,999999Q9Q,C:\Users\apto117\Documents\pachinko-analyzer\src\2026project\scraper\twitter_monitor\images\999999Q9Q\2094379814396559391_3.jpg
2094382077475266855,999999Q9Q,5,C:\Users\apto117\Documents\pachinko-analyzer\src\2026project\scraper\twitter_monitor\images\999999Q9Q\2094382077475266855_5.jpg,2094385787056119869,999999Q9Q,C:\Users\apto117\Documents\pachinko-analyzer\src\2026project\scraper\twitter_monitor\images\999999Q9Q\2094385787056119869_3.jpg
