hall,debut_phase,games_tier,n,n_machines,avg_diff,plus_rate,avg_games,note
金時,1-14日,低稼働,88,6,-86.4,31.8,1431.3,
金時,1-14日,中稼働,18,7,284.0,44.4,2882.5,low_n
金時,1-14日,高稼働,1443,64,-107.5,39.4,4426.4,
金時,15-60日,低稼働,729,28,-332.8,29.6,1713.7,
金時,15-60日,中稼働,1411,48,-0.9,36.4,2368.1,
金時,15-60日,高稼働,3130,51,-197.7,36.7,3486.8,
金時,61-180日,低稼働,2614,39,-120.7,32.8,1804.7,
金時,61-180日,中稼働,3567,37,-21.2,36.9,2423.4,
金時,61-180日,高稼働,2523,21,-2.2,39.4,3481.9,
金時,181日+,低稼働,2000,20,-30.2,33.1,1847.6,
金時,181日+,中稼働,2331,17,-53.5,34.8,2372.1,
金時,181日+,高稼働,1334,6,-16.0,39.6,3622.2,
