index,segment,avg_diff,avg_diff_other,win_rate,payout_rate,avg_diff_vs_other,hit@10,lift@10,hit@20,lift@20,hit@50,lift@50,hit_t2500,lift_t2500,hit_t3500,lift_t3500,hit_t4500,lift_t4500,test_date,variant,window,event_type,selection
0,2F_L_N,52.0,179.36746987951807,36.0,95.8621310664475,-127.36746987951807,0.0,0.0,1.0,0.7140000000000001,4.0,1.1424,6.0,1.0710000000000002,4.0,0.9848275862068966,3.0,1.1273684210526316,2025-10-06,v11_seg_weights,90,non_event,top50
1,2F_R_N,310.0,159.93975903614458,38.0,99.70856971300445,150.06024096385542,2.0,2.8560000000000003,2.0,1.4280000000000002,5.0,1.428,8.0,1.4280000000000002,7.0,1.723448275862069,3.0,1.1273684210526316,2025-10-06,v11_seg_weights,90,non_event,top50
2,3F_L_A,28.0,181.17469879518072,36.0,96.64352086698496,-153.17469879518072,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.17850000000000002,0.0,0.0,0.0,0.0,2025-10-06,v11_seg_weights,90,non_event,top50
3,3F_L_N,602.0,137.95180722891567,46.0,102.60405965633304,464.04819277108436,1.0,1.4280000000000002,1.0,0.7140000000000001,5.0,1.428,9.0,1.6065,5.0,1.2310344827586208,3.0,1.1273684210526316,2025-10-06,v11_seg_weights,90,non_event,top50
4,3F_R_A,94.0,176.20481927710844,44.0,96.17215953248804,-82.20481927710844,0.0,0.0,0.0,0.0,1.0,0.2856,1.0,0.17850000000000002,1.0,0.24620689655172415,0.0,0.0,2025-10-06,v11_seg_weights,90,non_event,top50
5,3F_R_N,214.0,167.16867469879517,42.0,98.05781528067692,46.83132530120483,0.0,0.0,2.0,1.4280000000000002,7.0,1.9992,9.0,1.6065,7.0,1.723448275862069,6.0,2.254736842105263,2025-10-06,v11_seg_weights,90,non_event,top50
0,2F_L_N,-194.0,197.89156626506025,32.0,97.41196261690216,-391.89156626506025,0.0,0.0,1.0,0.7140000000000001,2.0,0.5712,5.0,0.8925000000000001,5.0,1.2310344827586208,2.0,0.7515789473684211,2025-10-06,v11_seg_weights,90,non_event,bottom50
1,2F_R_N,696.0,130.8734939759036,42.0,106.75560924860503,565.1265060240964,2.0,2.8560000000000003,4.0,2.8560000000000003,7.0,1.9992,8.0,1.4280000000000002,8.0,1.9696551724137932,6.0,2.254736842105263,2025-10-06,v11_seg_weights,90,non_event,bottom50
2,3F_L_A,-136.0,193.52409638554218,32.0,93.50635521138462,-329.5240963855422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-06,v11_seg_weights,90,non_event,bottom50
3,3F_L_N,-268.0,203.46385542168676,30.0,95.44780451065417,-471.46385542168673,1.0,1.4280000000000002,1.0,0.7140000000000001,3.0,0.8568,6.0,1.0710000000000002,3.0,0.7386206896551725,3.0,1.1273684210526316,2025-10-06,v11_seg_weights,90,non_event,bottom50
4,3F_R_A,112.0,174.84939759036143,44.0,96.9932737503392,-62.849397590361434,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.17850000000000002,0.0,0.0,0.0,0.0,2025-10-06,v11_seg_weights,90,non_event,bottom50
5,3F_R_N,172.0,170.33132530120483,34.0,99.3933061600424,1.6686746987951722,1.0,1.4280000000000002,3.0,2.1420000000000003,8.0,2.2848,8.0,1.4280000000000002,8.0,1.9696551724137932,7.0,2.630526315789474,2025-10-06,v11_seg_weights,90,non_event,bottom50
