month,expert,precision,recall,f1,hit_at_2,hit_at_3,n_days
2026-01,2F_N,0.8225806451612904,0.8225806451612904,0.8225806451612904,1.0,1.0,31
2026-01,3F_A,0.7580645161290323,0.7580645161290323,0.7580645161290323,0.9032258064516129,0.9032258064516129,31
2026-01,3F_N,0.8387096774193549,0.8387096774193549,0.8387096774193549,1.0,1.0,31
2026-02,2F_N,0.8214285714285714,0.8214285714285714,0.8214285714285714,1.0,1.0,28
2026-02,3F_A,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.9285714285714286,0.9642857142857143,28
2026-02,3F_N,0.8392857142857143,0.8392857142857143,0.8392857142857143,1.0,1.0,28
2026-03,2F_N,0.7903225806451613,0.7903225806451613,0.7903225806451613,0.967741935483871,1.0,31
2026-03,3F_A,0.7903225806451613,0.7903225806451613,0.7903225806451613,0.967741935483871,0.967741935483871,31
2026-03,3F_N,0.8709677419354839,0.8709677419354839,0.8709677419354839,1.0,1.0,31
2026-04,2F_N,0.8666666666666667,0.8666666666666667,0.8666666666666667,1.0,1.0,30
2026-04,3F_A,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.9666666666666667,0.9666666666666667,30
2026-04,3F_N,0.85,0.85,0.85,0.9666666666666667,0.9666666666666667,30
2026-05,2F_N,0.7884615384615384,0.7884615384615384,0.7884615384615384,1.0,1.0,26
2026-05,3F_A,0.8461538461538461,0.8461538461538461,0.8461538461538461,1.0,1.0,26
2026-05,3F_N,0.7884615384615384,0.7884615384615384,0.7884615384615384,0.9615384615384616,0.9615384615384616,26
